overallIndex,name,browseNodeID,Level,Category Path,Book1Rank,Book100Rank,nLast30Days,top100URL,last30URL,preordersURL,parentName,parentBrowseNodeID,topLevelCategoryName,fullName,alsoKnownAs
8257,Environmental Science & Ecosystems,7006584011,5,Kindle eBooks > Teen & Young Adult > Education & Reference > Science & Technology > Science & Nature > Environmental Science & Ecosystems,6720,2465044,7,https://amazon.com/Best-Sellers-Kindle-Store-Teen-Young-Adult-Environmental-Science-Ecosystems-eBooks/zgbs/digital-text/7006584011,"https://amazon.com/s?s=relevanceexprank&rh=n%3A7006584011,p_n_date:1249100011","https://amazon.com/s?s=relevanceexprank&rh=n%3A7006584011,p_n_date:1249102011",Science & Nature,7006571011,Teen & Young Adult,Teen & Young Adult Environmental Science & Ecosystems eBooks,
8258,Experiments & Projects,7006585011,5,Kindle eBooks > Teen & Young Adult > Education & Reference > Science & Technology > Science & Nature > Experiments & Projects,171834,5239956,4,https://amazon.com/Best-Sellers-Kindle-Store-Teen-Young-Adult-Experiments-Projects-eBooks/zgbs/digital-text/7006585011,"https://amazon.com/s?s=relevanceexprank&rh=n%3A7006585011,p_n_date:1249100011","https://amazon.com/s?s=relevanceexprank&rh=n%3A7006585011,p_n_date:1249102011",Science & Nature,7006571011,Teen & Young Adult,Teen & Young Adult Experiments & Projects eBooks,
8259,Physics,7006592011,5,Kindle eBooks > Teen & Young Adult > Education & Reference > Science & Technology > Science & Nature > Physics,172924,3156145,0,https://amazon.com/Best-Sellers-Kindle-Store-Teen-Young-Adult-Physics-eBooks/zgbs/digital-text/7006592011,"https://amazon.com/s?s=relevanceexprank&rh=n%3A7006592011,p_n_date:1249100011","https://amazon.com/s?s=relevanceexprank&rh=n%3A7006592011,p_n_date:1249102011",Science & Nature,7006571011,Teen & Young Adult,Teen & Young Adult Physics eBooks,
8260,Zoology,7006593011,5,Kindle eBooks > Teen & Young Adult > Education & Reference > Science & Technology > Science & Nature > Zoology,260350,4640319,1,https://amazon.com/Best-Sellers-Kindle-Store-Teen-Young-Adult-Zoology-eBooks/zgbs/digital-text/7006593011,"https://amazon.com/s?s=relevanceexprank&rh=n%3A7006593011,p_n_date:1249100011","https://amazon.com/s?s=relevanceexprank&rh=n%3A7006593011,p_n_date:1249102011",Science & Nature,7006571011,Teen & Young Adult,Teen & Young Adult Zoology eBooks,
8250,Technology,15248949011,4,Kindle eBooks > Teen & Young Adult > Education & Reference > Science & Technology > Technology,102217,1573216,14,https://amazon.com/Best-Sellers-Kindle-Store-Teen-Young-Adult-Technology-Nonfiction-eBooks/zgbs/digital-text/15248949011,"https://amazon.com/s?s=relevanceexprank&rh=n%3A15248949011,p_n_date:1249100011","https://amazon.com/s?s=relevanceexprank&rh=n%3A15248949011,p_n_date:1249102011",Science & Technology,7006563011,Teen & Young Adult,Teen & Young Adult Technology Nonfiction eBooks,
8233,Social Science,7006594011,3,Kindle eBooks > Teen & Young Adult > Education & Reference > Social Science,20432,742289,21,https://amazon.com/Best-Sellers-Kindle-Store-Teen-Young-Adult-Social-Science-eBooks/zgbs/digital-text/7006594011,"https://amazon.com/s?s=relevanceexprank&rh=n%3A7006594011,p_n_date:1249100011","https://amazon.com/s?s=relevanceexprank&rh=n%3A7006594011,p_n_date:1249102011",Education & Reference,6064556011,Teen & Young Adult,Teen & Young Adult Social Science eBooks,
8261,Folklore & Mythology,15248961011,4,Kindle eBooks > Teen & Young Adult > Education & Reference > Social Science > Folklore & Mythology,130126,2324705,3,https://amazon.com/Best-Sellers-Kindle-Store-Teen-Young-Adult-Folklore-Mythology-eBooks/zgbs/digital-text/15248961011,"https://amazon.com/s?s=relevanceexprank&rh=n%3A15248961011,p_n_date:1249100011","https://amazon.com/s?s=relevanceexprank&rh=n%3A15248961011,p_n_date:1249102011",Social Science,7006594011,Teen & Young Adult,Teen & Young Adult Folklore & Mythology eBooks,
8262,Media Studies,15248962011,4,Kindle eBooks > Teen & Young Adult > Education & Reference > Social Science > Media Studies,604863,,1,https://amazon.com/Best-Sellers-Kindle-Store-Teen-Young-Adult-Media-Studies-eBooks/zgbs/digital-text/15248962011,"https://amazon.com/s?s=relevanceexprank&rh=n%3A15248962011,p_n_date:1249100011","https://amazon.com/s?s=relevanceexprank&rh=n%3A15248962011,p_n_date:1249102011",Social Science,7006594011,Teen & Young Adult,Teen & Young Adult Media Studies eBooks,
8263,Politics & Government,7006598011,4,Kindle eBooks > Teen & Young Adult > Education & Reference > Social Science > Politics & Government,20432,2415496,2,https://amazon.com/Best-Sellers-Kindle-Store-Teen-Young-Adult-Politics-Government-eBooks/zgbs/digital-text/7006598011,"https://amazon.com/s?s=relevanceexprank&rh=n%3A7006598011,p_n_date:1249100011","https://amazon.com/s?s=relevanceexprank&rh=n%3A7006598011,p_n_date:1249102011",Social Science,7006594011,Teen & Young Adult,Teen & Young Adult Politics & Government eBooks,
8264,Psychology,7006599011,4,Kindle eBooks > Teen & Young Adult > Education & Reference > Social Science > Psychology,88868,1792385,8,https://amazon.com/Best-Sellers-Kindle-Store-Teen-Young-Adult-Psychology-eBooks/zgbs/digital-text/7006599011,"https://amazon.com/s?s=relevanceexprank&rh=n%3A7006599011,p_n_date:1249100011","https://amazon.com/s?s=relevanceexprank&rh=n%3A7006599011,p_n_date:1249102011",Social Science,7006594011,Teen & Young Adult,Teen & Young Adult Psychology eBooks,
